COUNT_time,drivinstage,turn,omega,hsv.val,distance,gyro_deg
980,0,15,6,16,255,0
984,0,9,6,17,255,0
988,0,11,6,17,255,0
992,0,6,6,18,255,0
996,0,7,6,18,255,0
1000,0,7,6,18,255,0
1004,0,7,7,18,255,0
1008,0,7,7,18,255,0
1012,0,2,7,19,255,0
1016,0,3,7,19,255,0
1020,0,3,7,19,255,0
1024,0,-1,7,20,255,0
1028,0,0,7,20,255,0
1032,100,0,7,20,255,0
1036,100,0,7,20,255,0
1040,100,0,7,20,255,0
1044,100,-5,0,21,255,0
1048,100,-3,0,21,255,0
1052,100,-8,0,22,255,0
1056,100,-7,0,22,255,0
1060,100,-7,0,22,255,0
1064,100,-12,0,23,255,0
1068,0,-11,0,23,255,0
1072,0,-11,0,23,255,0
1076,0,-11,0,23,255,0
1080,0,-11,0,23,255,0
1084,0,-16,0,24,255,0
1088,0,-14,0,24,255,0
1092,0,-20,0,25,255,0
1096,0,-18,0,25,255,0
1100,0,-18,0,25,255,0
1104,0,-18,0,25,255,0
1108,0,-18,0,25,255,0
1112,0,-18,0,25,255,0
1116,0,-18,0,25,255,0
1120,0,-18,0,25,255,0
1124,0,-18,0,25,255,0
1128,0,-18,0,25,255,0
1132,0,-18,0,25,255,0
1136,0,-18,0,25,255,0
1140,0,-18,0,25,255,0
1144,0,-18,0,25,255,0
1148,0,-18,0,25,255,0
1152,0,-18,0,25,255,0
1156,0,-18,0,25,255,0
1160,0,-18,0,25,255,0
1164,0,-18,-1,25,255,0
1168,0,-18,-1,25,255,0
1172,0,-18,-1,25,255,0
1176,0,-18,-1,25,255,0
1180,0,-18,-1,25,255,0
1184,0,-18,-1,25,255,0
1188,0,-18,-1,25,255,0
1192,0,-18,-1,25,255,0
1196,0,-18,-1,25,255,0
1200,0,-18,-1,25,255,0
1204,0,-13,-2,24,255,0
1208,0,-15,-2,24,255,0
1212,0,-15,-2,24,255,0
1216,0,-15,-2,24,255,0
1220,0,-15,-2,24,255,0
1224,0,-15,-2,24,255,0
1228,0,-15,-2,24,255,0
1232,0,-9,-3,23,255,0
1236,0,-11,-3,23,255,0
1240,0,-11,-3,23,255,0
1244,0,-11,-3,23,255,0
1248,0,-11,-3,23,255,0
1252,0,-6,-3,22,255,0
1256,0,-7,-3,22,255,0
1260,0,-7,-3,22,255,0
1264,0,-7,-3,22,255,0
1268,0,-7,-3,22,255,0
1272,0,-2,-3,21,255,0
